Gender,Age,Dur,PPV
Male,8,25,17.73
Male,8,26,18.2
Male,8,27,18.64
Male,8,28,19.08
Male,8,29,19.5
Male,8,30,19.92
Male,8,31,20.31
Male,8,32,20.7
Male,8,33,21.08
Male,8,34,21.44
Male,8,35,21.78
Male,8,36,22.12
Male,8,37,22.45
Male,8,38,22.77
Male,8,39,23.08
Male,8,40,23.38
Male,8,41,23.66
Male,8,42,23.94
Male,8,43,24.2
Male,8,44,24.47
Male,8,45,24.72
Male,8,46,24.95
Male,8,47,25.19
Male,8,48,25.4
Male,8,49,25.62
Male,8,50,25.83
Male,9,11,9.484
Male,9,12,10.195
Male,9,13,10.89
Male,9,14,11.56
Male,9,15,12.21
Male,9,16,12.84
Male,9,17,13.45
Male,9,18,14.05
Male,9,19,14.625
Male,9,20,15.19
Male,9,21,15.73
Male,9,22,16.25
Male,9,23,16.77
Male,9,24,17.25
Male,9,25,17.73
Male,9,26,18.2
Male,9,27,18.64
Male,9,28,19.08
Male,9,29,19.5
Male,9,30,19.92
Male,9,31,20.31
Male,9,32,20.7
Male,9,33,21.06
Male,9,34,21.44
Male,9,35,21.78
Male,9,36,22.12
Male,9,37,22.44
Male,9,38,22.77
Male,9,39,23.06
Male,9,40,23.36
Male,9,41,23.66
Male,9,42,23.92
Male,9,43,24.19
Male,9,44,24.45
Male,9,45,24.7
Male,9,46,24.94
Male,9,47,25.16
Male,9,48,25.39
Male,9,49,25.6
Male,9,50,25.8
Male,10,10,8.75
Male,10,11,9.484
Male,10,12,10.195
Male,10,13,10.89
Male,10,14,11.56
Male,10,15,12.21
Male,10,16,12.84
Male,10,17,13.45
Male,10,18,14.05
Male,10,19,14.625
Male,10,20,15.18
Male,10,21,15.73
Male,10,22,16.25
Male,10,23,16.75
Male,10,24,17.25
Male,10,25,17.73
Male,10,26,18.19
Male,10,27,18.64
Male,10,28,19.08
Male,10,29,19.5
Male,10,30,19.9
Male,10,31,20.31
Male,10,32,20.69
Male,10,33,21.06
Male,10,34,21.42
Male,10,35,21.77
Male,10,36,22.11
Male,10,37,22.44
Male,10,38,22.75
Male,10,39,23.06
Male,10,40,23.36
Male,10,41,23.64
Male,10,42,23.9
Male,10,43,24.17
Male,10,44,24.44
Male,10,45,24.67
Male,10,46,24.9
Male,10,47,25.14
Male,10,48,25.36
Male,10,49,25.56
Male,10,50,25.77
Male,11,9,7.99
Male,11,10,8.75
Male,11,11,9.484
Male,11,12,10.195
Male,11,13,10.89
Male,11,14,11.56
Male,11,15,12.21
Male,11,16,12.84
Male,11,17,13.45
Male,11,18,14.05
Male,11,19,14.625
Male,11,20,15.18
Male,11,21,15.72
Male,11,22,16.25
Male,11,23,16.75
Male,11,24,17.25
Male,11,25,17.73
Male,11,26,18.19
Male,11,27,18.64
Male,11,28,19.08
Male,11,29,19.5
Male,11,30,19.9
Male,11,31,20.3
Male,11,32,20.69
Male,11,33,21.06
Male,11,34,21.42
Male,11,35,21.77
Male,11,36,22.11
Male,11,37,22.42
Male,11,38,22.75
Male,11,39,23.05
Male,11,40,23.34
Male,11,41,23.62
Male,11,42,23.89
Male,11,43,24.16
Male,11,44,24.4
Male,11,45,24.66
Male,11,46,24.89
Male,11,47,25.11
Male,11,48,25.33
Male,11,49,25.53
Male,11,50,25.73
Male,12,8,7.203
Male,12,9,7.99
Male,12,10,8.74
Male,12,11,9.484
Male,12,12,10.195
Male,12,13,10.89
Male,12,14,11.56
Male,12,15,12.21
Male,12,16,12.84
Male,12,17,13.45
Male,12,18,14.05
Male,12,19,14.625
Male,12,20,15.18
Male,12,21,15.72
Male,12,22,16.25
Male,12,23,16.75
Male,12,24,17.25
Male,12,25,17.72
Male,12,26,18.19
Male,12,27,18.64
Male,12,28,19.08
Male,12,29,19.5
Male,12,30,19.9
Male,12,31,20.3
Male,12,32,20.69
Male,12,33,21.05
Male,12,34,21.4
Male,12,35,21.77
Male,12,36,22.1
Male,12,37,22.42
Male,12,38,22.73
Male,12,39,23.03
Male,12,40,23.33
Male,12,41,23.61
Male,12,42,23.88
Male,12,43,24.14
Male,12,44,24.39
Male,12,45,24.62
Male,12,46,24.86
Male,12,47,25.1
Male,12,48,25.3
Male,12,49,25.5
Male,12,50,25.7
Male,13,7,6.4
Male,13,8,7.203
Male,13,9,7.99
Male,13,10,8.74
Male,13,11,9.484
Male,13,12,10.195
Male,13,13,10.89
Male,13,14,11.555
Male,13,15,12.21
Male,13,16,12.836
Male,13,17,13.45
Male,13,18,14.05
Male,13,19,14.62
Male,13,20,15.18
Male,13,21,15.72
Male,13,22,16.25
Male,13,23,16.75
Male,13,24,17.25
Male,13,25,17.72
Male,13,26,18.19
Male,13,27,18.64
Male,13,28,19.06
Male,13,29,19.48
Male,13,30,19.89
Male,13,31,20.3
Male,13,32,20.67
Male,13,33,21.05
Male,13,34,21.4
Male,13,35,21.75
Male,13,36,22.08
Male,13,37,22.4
Male,13,38,22.72
Male,13,39,23.02
Male,13,40,23.31
Male,13,41,23.6
Male,13,42,23.86
Male,13,43,24.12
Male,13,44,24.36
Male,13,45,24.61
Male,13,46,24.83
Male,13,47,25.06
Male,13,48,25.27
Male,13,49,25.47
Male,13,50,25.66
Male,14,6,5.566
Male,14,7,6.4
Male,14,8,7.203
Male,14,9,7.99
Male,14,10,8.74
Male,14,11,9.484
Male,14,12,10.195
Male,14,13,10.88
Male,14,14,11.555
Male,14,15,12.21
Male,14,16,12.836
Male,14,17,13.45
Male,14,18,14.05
Male,14,19,14.62
Male,14,20,15.18
Male,14,21,15.72
Male,14,22,16.23
Male,14,23,16.75
Male,14,24,17.23
Male,14,25,17.72
Male,14,26,18.19
Male,14,27,18.62
Male,14,28,19.06
Male,14,29,19.48
Male,14,30,19.89
Male,14,31,20.28
Male,14,32,20.67
Male,14,33,21.03
Male,14,34,21.39
Male,14,35,21.73
Male,14,36,22.08
Male,14,37,22.39
Male,14,38,22.7
Male,14,39,23.0
Male,14,40,23.3
Male,14,41,23.56
Male,14,42,23.84
Male,14,43,24.1
Male,14,44,24.34
Male,14,45,24.58
Male,14,46,24.8
Male,14,47,25.02
Male,14,48,25.23
Male,14,49,25.42
Male,14,50,25.61
Male,15,5,4.707
Male,15,6,5.566
Male,15,7,6.4
Male,15,8,7.203
Male,15,9,7.984
Male,15,10,8.74
Male,15,11,9.48
Male,15,12,10.195
Male,15,13,10.88
Male,15,14,11.555
Male,15,15,12.2
Male,15,16,12.836
Male,15,17,13.45
Male,15,18,14.04
Male,15,19,14.62
Male,15,20,15.17
Male,15,21,15.72
Male,15,22,16.23
Male,15,23,16.75
Male,15,24,17.23
Male,15,25,17.72
Male,15,26,18.17
Male,15,27,18.62
Male,15,28,19.06
Male,15,29,19.48
Male,15,30,19.89
Male,15,31,20.28
Male,15,32,20.66
Male,15,33,21.03
Male,15,34,21.39
Male,15,35,21.73
Male,15,36,22.06
Male,15,37,22.38
Male,15,38,22.69
Male,15,39,22.98
Male,15,40,23.27
Male,15,41,23.55
Male,15,42,23.81
Male,15,43,24.06
Male,15,44,24.31
Male,15,45,24.55
Male,15,46,24.77
Male,15,47,24.98
Male,15,48,25.19
Male,15,49,25.38
Male,15,50,25.56
Male,16,4,3.822
Male,16,5,4.707
Male,16,6,5.566
Male,16,7,6.4
Male,16,8,7.203
Male,16,9,7.984
Male,16,10,8.74
Male,16,11,9.48
Male,16,12,10.195
Male,16,13,10.88
Male,16,14,11.555
Male,16,15,12.2
Male,16,16,12.836
Male,16,17,13.445
Male,16,18,14.04
Male,16,19,14.62
Male,16,20,15.17
Male,16,21,15.71
Male,16,22,16.23
Male,16,23,16.75
Male,16,24,17.23
Male,16,25,17.72
Male,16,26,18.17
Male,16,27,18.62
Male,16,28,19.06
Male,16,29,19.47
Male,16,30,19.88
Male,16,31,20.27
Male,16,32,20.66
Male,16,33,21.02
Male,16,34,21.38
Male,16,35,21.72
Male,16,36,22.05
Male,16,37,22.36
Male,16,38,22.67
Male,16,39,22.97
Male,16,40,23.25
Male,16,41,23.52
Male,16,42,23.78
Male,16,43,24.03
